다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 울산
,기간 : 2024 ~ 2025  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2024-01,3.4,8.3,-0.7,42.3
 2024-02,6.0,10.0,2.5,105.4
 2024-03,8.6,13.3,3.6,80.2
 2024-04,14.9,20.2,10.6,99.1
 2024-05,17.9,23.5,12.4,69.3
 2024-06,22.6,27.4,18.4,124.6
 2024-07,26.9,30.6,23.8,209.2
 2024-08,28.0,32.3,24.5,89.1
 2024-09,24.7,29.0,21.5,237.0
 2024-10,17.8,21.9,14.3,174.3
 2024-11,11.8,16.4,7.8,67.5
 2024-12,4.1,8.8,0.0,0.0
 2025-01,2.5,7.6,-1.8,6.4
 2025-02,1.9,7.0,-2.7,16.1
 2025-03,9.2,14.4,4.3,71.7
 2025-04,13.9,19.6,8.2,56.1
 2025-05,17.0,22.0,12.3,107.1
 2025-06,,,,7.2
 평균,13.6,18.4,9.4,86.8





