다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기압
,검색구분 : 월
,지점명 : 울산
,기간 : 2024 ~ 2025  01~12



선텍 전체 통계
일시,평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa)
 2024-01,1013.0,1022.5,1003.8,1023.1,1032.7,1013.6
 2024-02,1013.6,1022.2,997.5,1023.7,1032.5,1006.8
 2024-03,1007.4,1019.1,992.1,1017.3,1029.2,1001.7
 2024-04,1004.1,1018.1,994.3,1013.7,1028.1,1004.0
 2024-05,1003.2,1011.9,989.3,1012.7,1021.5,998.6
 2024-06,998.2,1010.4,986.2,1007.5,1020.0,995.3
 2024-07,997.9,1008.3,989.2,1007.0,1017.5,998.3
 2024-08,997.8,1003.0,991.6,1006.9,1012.1,1000.7
 2024-09,1003.6,1012.1,589.8,1012.9,1021.5,963.4
 2024-10,1009.4,1022.3,997.4,1019.0,1032.1,1006.5
 2024-11,1010.9,1022.2,998.0,1020.7,1032.3,1007.7
 2024-12,1011.0,1019.4,1003.5,1021.1,1029.7,1013.0
 2025-01,1012.1,1019.8,1000.9,1022.3,1030.3,1010.9
 2025-02,1011.6,1021.1,998.8,1021.8,1031.6,1008.8
 2025-03,1007.7,1020.6,986.1,1017.6,1030.6,995.3
 2025-04,1001.8,1014.9,984.5,1011.4,1025.0,994.0
 2025-05,1001.5,1009.8,986.7,1011.0,1019.5,996.1
 2025-06,,1003.7,987.2,,1013.1,996.4
 평균,1006.2,1015.6,970.9,1015.9,1025.5,1000.6



