다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 울산
,기간 : 2024 ~ 2025  01~12





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2024-01,197.5,309.49
 2024-02,100.9,247.49
 2024-03,215.1,481.87
 2024-04,186.8,499.00
 2024-05,273.1,711.70
 2024-06,209.0,599.66
 2024-07,193.6,564.56
 2024-08,272.0,654.79
 2024-09,167.7,453.19
 2024-10,121.7,316.49
 2024-11,152.6,289.55
 2024-12,236.0,329.81
 2025-01,223.5,346.79
 2025-02,231.7,425.87
 2025-03,205.6,485.17
 2025-04,254.5,628.39
 2025-05,235.5,627.16
 2025-06,95.8,258.33
 평균,198.5,457.18

